"file","line","kind","target","snippet"
"js\mapa.js","388","from","servicio_custodio","ata, error } = await window.sb          .from(""servicio_custodio"")          .select(            ""id, nombre_custodio, ti"
"js\mapa.js","1838","from","servicio_custodio","t { data } = await window.sb            .from(""servicio_custodio"")            .select(""nombre_custodio"")            .eq("
"js\dashboard\dashboard-admin.js","984","from","ubicacion","gErr } = await window.sb                .from(""ubicacion"")                .select(""lat,lng,captured_at"")                "
"js\lib\tracking-store.js","14","from","ubicacion","st { data, error } = await sb           .from(""ubicacion"")           .select(""id,lat,lng,captured_at"")           .eq(""se"
"netlify\functions\ruta-desvio-handler.js","172","from","ubicacion"," { data, error } = await supabase       .from(""ubicacion"")       .select(""id, lat, lng, captured_at"")       .eq(""servici"
"config.js","75","from","usuario"," data, error } = await window.sb        .from(""usuario"")        .select(""role"")        .limit(1);      if (error) throw "
"js\login\login.js","267","from","usuario","{ data, error } = await window.sb       .from(""usuario"")       .select(""id, role, is_active, created_at"")       .eq(""pin"
"js\dashboard\custodia-registros.js","493","from","v_servicio_ultimo_ping","data, error } = await window.sb         .from(""v_servicio_ultimo_ping"")         .select(""ultimo_ping_at"")         .eq(""s"
"js\dashboard\dashboard-admin.js","315","from","v_ultimo_ping_por_custodia","{        let query = window.sb          .from(""v_ultimo_ping_por_custodia"")          .select(MARKER_COLUMNS);        if "
"js\dashboard\dashboard-admin.js","1067","from","v_ultimo_ping_por_custodia"," pingError } = await window.sb          .from(""v_ultimo_ping_por_custodia"")          .select(            ""servicio_custo"
"js\mapa.js","1021","rpc","get_panic_alarm_events_from_jwt"," const { data, error } = await window.sb.rpc(          ""get_panic_alarm_events_from_jwt"",          {}        );        i"
"js\mapa.js","154","rpc","registrar_ubicacion"," data, error, status } = await window.sb.rpc(          ""registrar_ubicacion"",          payload        );        if (erro"
